Lemma,Part of Speech Code,Full Citation Form,BDAG Entry,Danker Entry,Dodson Entry,Mounce Entry,Strongs,GK,Dodson Part of Speech Code,Gloss,Mounce MorphCat,root,verbs,Part of Speech
Ἀαρών,N,"Ἀαρών, ὁ",Ἀαρών,"Ἀαρών, ὁ","Ἀαρών, ὁ",Ἀαρών,2,2,N-PRI,Aaron,n-3g(2),,,Noun
Ἀβαδδών,N,"Ἀβαδδών, ὁ",Ἀβαδδών,"Ἀβαδδών, ὁ","Ἀβαδδών, ὁ",Ἀβαδδών,3,3,N-PRI,Abaddon,n-3g(2),,,Noun
ἀβαρής,A,"ἀβαρής, ές, gen. οῦς",ἀβαρής,"ἀβαρής, ές, gen. οῦς","ἀβαρής, ες",ἀβαρής,4,4,A,not burdensome,a-4a,,,Adjective
αββα,N,αββα,ἀββα,ἀββά,Ἀββᾶ,ἀββά,5,5,N-PRI,Father,n-3g(2),,,Noun
Ἅβελ,N,"Ἅβελ, ὁ",Ἅβελ,"Ἅβελ, ὁ","Ἄβελ, ὁ",Ἇβελ,6,6,N-PRI,Abel,n-3g(2),,,Noun
Ἀβιά,N,"Ἀβιά, ὁ",Ἀβιά,"Ἀβιά, ὁ","Ἀβιά, ὁ",Ἀβιά,7,7,N-PRI,Abijah,n-3g(2),,,Noun
Ἀβιαθάρ,N,"Ἀβιαθάρ, ὁ",Ἀβιαθάρ,"Ἀβιαθάρ, ὁ","Ἀβιάθαρ, ὁ",Ἀβιαθάρ,8,8,N-PRI,Abiathar,n-3g(2),,,Noun
Ἀβιληνή,N,"Ἀβιληνή, ῆς, ἡ",Ἀβιληνή,"Ἀβιληνή, ῆς, ἡ","Ἀβιληνή, ῆς, ἡ",Ἀβιληνή,9,9,N:F,Abilene,n-1b,,,Noun
Ἀβιούδ,N,"Ἀβιούδ, ὁ",Ἀβιούδ,"Ἀβιούδ, ὁ","Ἀβιούδ, ὁ",Ἀβιούδ,10,10,N-PRI,Abiud,n-3g(2),,,Noun
Ἀβραάμ,N,"Ἀβραάμ, ὁ",Ἀβραάμ,"Ἀβραάμ, ὁ","Ἀβραάμ, ὁ",Ἀβραάμ,11,11,N-PRI,Abraham,n-3g(2),,,Noun
